# file format intended for conversion to featureXML through OpenMS FileConverter
scan	time	mz	accurateMZ	mass	intensity	charge	chargeStates	kl	background	median	peaks	scanFirst	scanLast	scanCount	totalIntensity	sumSquaresDist	description
0	470.7024025568036	579.2678801982953	579.2668771467711	578.2596006798912	122913.63251181453	1	0	1.0	0.0	0.0	2	707	712	6	122913.63251181453	0.0	""
1	468.58600939227046	506.0868499203623	506.08479892936043	505.07752246248043	292470.3476216424	1	0	1.0	0.0	0.0	2	697	715	15	292470.3476216424	0.0	""
2	469.51306903472374	533.1899581487774	533.189027975631	532.1817515087511	2034084.2468788591	1	0	1.0	0.0	0.0	2	700	723	24	2034084.2468788591	0.0	""
3	469.356746369668	495.8326000914665	495.8323242182479	494.8250477513679	1003453.9746142946	1	0	1.0	0.0	0.0	2	700	721	22	1003453.9746142946	0.0	""
4	471.8064342266845	439.8427904620521	439.8424212078073	438.8351447409273	716202.9147698842	1	0	1.0	0.0	0.0	2	700	718	17	716202.9147698842	0.0	""
5	467.9920284490642	499.7444161800937	499.74449249660734	997.4744320594547	483075.04099866457	2	0	1.0	0.0	0.0	2	700	717	17	483075.04099866457	0.0	""
6	471.0327056723961	579.1042831504085	579.1035255849293	578.0962491180494	636036.4362536804	1	0	1.0	0.0	0.0	2	700	722	19	636036.4362536804	0.0	""
7	470.7645924391362	503.1064002510786	503.1055835994629	502.0983071325829	2209295.5167361135	1	0	1.0	0.0	0.0	3	700	726	27	2209295.5167361135	0.0	""
8	465.0995397280817	464.28398904731023	464.2840357256971	926.5535185176342	9855389.928572822	2	0	1.0	0.0	0.0	2	669	728	59	9855389.928572822	0.0	""
9	473.9156753742545	889.2309875102268	889.2293363710727	888.2220599041927	573483.2880219405	1	0	1.0	0.0	0.0	3	705	727	17	573483.2880219405	0.0	""
10	474.9046404876877	433.2473965770714	433.247510202623	864.480467471486	189034.2185994254	2	0	1.0	0.0	0.0	2	715	725	8	189034.2185994254	0.0	""
11	471.6604291207559	463.1293998965918	463.1285653563112	462.1212888894312	873480.0141441961	1	0	1.0	0.0	0.0	2	701	725	20	873480.0141441961	0.0	""
12	473.69322376349686	506.0864632640845	506.0838935801287	505.0766171132487	207923.60885581543	1	0	1.0	0.0	0.0	2	715	727	11	207923.60885581543	0.0	""
13	473.9858510638949	523.1331602535826	523.1330278628614	522.1257513959814	844212.670416029	1	0	1.0	0.0	0.0	2	714	727	14	844212.670416029	0.0	""
14	474.7675182597462	681.226589671952	681.225660669145	680.218384202265	84297.52645513746	1	0	1.0	0.0	0.0	2	720	725	6	84297.52645513746	0.0	""
